CDK2,CRABP1
CDK2,LDHA
CDK2,CDK1
KCNJ11,ANK2
KCNJ11,LDHA
ZNF143,POU5F1
HEXB,EZR
HEXB,HK2
UBQLN4,CRIPT
UBQLN4,MAP1LC3A
UBQLN4,MYDGF
UBQLN4,PPIC
UBQLN4,HK2
UBQLN4,NOTCH2NL
UBQLN4,CTSB
UBQLN4,ATXN1
UBQLN4,PBXIP1
UBQLN4,TGFB1I1
CCND3,RB1
CCND3,CRABP2
CCND3,SIL1
VIM,SRRM2
VIM,GFAP
VIM,DNM1L
VIM,HTRA2
VIM,PRPH
VIM,FAM118B
VIM,SH3YL1
VIM,ITGB4
VIM,PLEC
VIM,MICAL1
VIM,FOXK1
VIM,FN1
VIM,RYK
VIM,RRP9
VIM,TNFRSF1B
VIM,TRIM29
VIM,CDK1
COL1A1,FGF7
COL1A1,NID2
COL1A1,TGFBI
COL1A1,IGFBP3
COL1A1,P4HB
COL1A1,SPARC
COL1A1,THBS1
COL1A1,CD44
COL1A1,FN1
SPARC,FN1
SPARC,HSPG2
SPARC,THBS1
FBN1,ANXA5
FBN1,TGFB2
FBN1,ELN
FBN1,TGFBI
FBN1,FN1
FBN1,HSPG2
FBN1,VCAN
FBN1,IGFBP3
FBN1,THBS1
SOX2,MEIS2
SOX2,GPC4
SOX2,DNM1L
SOX2,ZMYND8
SOX2,COPS3
SOX2,POU5F1
SOX2,CHD7
SOX2,SETD7
SOX2,THBS1
SOX2,CTNNB1
SOX2,RBBP7
SOX2,DDX39A
SOX2,CDK1
SOX2,NFIB
ZMYND8,PBXIP1
ZMYND8,E2F6
TMED10,RYK
TMED10,NIT2
TMED10,GSTK1
TMED10,TMED2
PEA15,MAPK3
PEA15,HTRA2
PEA15,L1CAM
PEA15,PRKCA
PEA15,PLD1
PEA15,LGR4
GSTK1,PEX5
GSTK1,MCM4
GSTK1,MCM7
GSTK1,FN1
C10ORF62,MDFI
C10ORF62,FXR2
NES,CDK1
RRM2,DNM1L
RRM2,RRM1
RRM2,CDK1
HSDL2,PEX5
THAP11,SLX1B
THAP11,HCFC1
RB1,TFDP2
RB1,E2F1
RB1,NEFM
RB1,DNMT1
RB1,SETD7
RB1,ELF1
RB1,ARNT
RB1,YY1
RB1,MCM7
RB1,RBBP7
RB1,CDK1
RB1,E2F3
SRPK2,SRRM2
SRPK2,NGLY1
SRPK2,FXR2
SRPK2,MRPS6
SRPK2,EIF1AY
SRPK2,DDX39A
NGLY1,TRAFD1
E2F1,TFDP2
E2F1,HCFC1
E2F1,E2F6
E2F1,IGF1
E2F1,DNMT1
E2F1,SETD7
E2F1,FHL2
E2F1,CDK1
RBBP7,HCFC1
RBBP7,USF1
RBBP7,NKX3-2
NFYA,HMGA1
NFYA,USF1
NFYA,ELF1
NFYA,SRF
TPM1,COL18A1
TPM1,FOXK1
TPM1,NUDCD2
TPM1,TPM2
IRF2,HCFC1
IRF2,ATG7
IRF2,FOXK1
IRF2,IRF2BPL
E2F3,RYBP
E2F3,TFDP2
E2F3,HCFC1
E2F3,USF1
E2F3,FHL2
E2F3,MCM4
E2F3,YY1
E2F3,HELLS
CRABP2,CCDC155
MCM4,MCM2
MCM4,MCM6
MCM4,CAP2
MCM4,MCM5
MCM4,MCM7
MCM4,CDK1
ANXA4,ANXA1
ANXA4,PADI4
ANXA4,ANXA3
RBSN,EHD2
RBSN,RAB5A
RBSN,DISC1
DPPA2,FXR2
DPPA2,PBXIP1
PEX19,NUDCD2
PEX19,EIF1B
GDF15,MDFI
CALB1,IMPA1
CALB1,TRPV5
SCP2,SRRM2
SCP2,PEX5
SCP2,ACOX1
SCP2,ACAA1
SCP2,ACAA2
SCP2,RAB31
SCP2,AGPS
SCP2,PITPNA
SOX17,CTNNB1
CALU,PRPH
CALU,P4HB
DDX39A,SARNP
DDX39A,SMS
CTCF,CHD7
CTCF,POU5F1
CTCF,YY1
CPNE4,CCDC22
SYNM,FLNC
SYNM,DISC1
HSPG2,COL18A1
HSPG2,FGF7
HSPG2,FN1
HSPG2,NID2
HSPG2,FGF2
HSPG2,LTBP2
RRP9,RAP2A
CCDC155,MMP14
CCDC155,SGTA
CCDC155,FIS1
SORBS2,ACTN1
SORBS2,PALLD
SORBS2,SYNJ1
SORBS2,ABL2
COL18A1,GPC4
COL18A1,PCOLCE
COL18A1,CTSL
COL18A1,THBS1
DMRT1,TRIM29
HMGB3,HMGA1
HMGB3,EIF1B
SRGAP3,TNIK
SRGAP3,DISC1
ITGB4,SEL1L
ITGB4,ATXN1
ITGB4,PLEC
ITGB4,PRKCA
MRPL23,MPV17
VCAN,CD44
NGEF,FAM118B
NGEF,EPHA4
PADI4,ELK1
FIS1,PEX5
FIS1,DNM1L
PBX1,MEIS1
PBX1,MEIS2
PBX1,PKNOX1
FAM129B,DNM1L
ARNT,DIABLO
ARNT,AIP
ABAT,LGR4
CDK1,HMGA1
CDK1,GFAP
CDK1,HTRA2
CDK1,FEN1
CDK1,REPS2
CDK1,PLEC
CDK1,NCAPG
CDK1,FN1
CDK1,FYN
CDK1,RYK
CDK1,EPN1
NCAN,L1CAM
NCAN,TNC
DNMT1,SETD7
DNMT1,HELLS
RRM1,TNIK
MDFI,PBXIP1
MDFI,MCM5
PLA2G15,RNF7
SHBG,SRF
SHBG,CTSD
HPRT1,EIF1B
HPRT1,PRTFDC1
HPRT1,PSAT1
SRRM2,MCM6
SRRM2,PLEC
SRRM2,MRPS6
SRRM2,SARNP
SRRM2,CLK4
SRRM2,MYL6
S100A1,GFAP
S100A1,PLEKHF2
SERPINB3,CTSL
SERPINB3,TNFRSF1B
MYDGF,SGTA
L1CAM,EZR
L1CAM,ANK2
NEO1,PITPNA
RAP2A,SERPINA1
RAP2A,ENSA
RAP2A,TNIK
MCM6,MCM2
MCM6,MCM7
MCM6,MCM5
MCM6,FN1
ARL2,ARL2BP
ARL2,PES1
ARL2,FN1
DIABLO,HTRA2
DIABLO,GABPA
SERPINA1,DERL2
SERPINA1,FN1
MXRA5,EIF1B
TP53I11,ATXN1
PTK7,RYK
PTK7,CTNNB1
GDA,SMS
PTPN9,AGTRAP
PTPN9,RTN3
PTPN9,MAL2
ACOX3,PEX5
CD44,EZR
CD44,FGF2
CD44,IGFBP3
CD44,FYN
CD44,FN1
COX6B1,ACOX1
USF1,HCFC1
USF1,PPRC1
USF1,PLEKHF2
RYK,MAPK3
RYK,EPHB3
RYK,CTNNB1
RYK,EPHA4
RYK,ITM2C
RNF7,ASB1
RNF7,ITM2C
FHL2,HCFC1
FHL2,GNG12
FHL2,GABPA
FHL2,ATXN1
FHL2,FHL3
FHL2,NRF1
FHL2,SRF
FHL2,FHL1
FHL2,CTNNB1
FHL2,MCM7
PLEKHA5,ATXN1
PLEKHA5,PLEC
PLEKHA5,CIAO1
THBS1,SCARB2
THBS1,FN1
THBS1,PCOLCE
